Country,Count,Percentage
United States,5725,22.59
No Affiliation Info,2660,10.50
Other,2233,8.81
China,2217,8.75
United Kingdom,1444,5.70
Japan,1134,4.47
Germany,1037,4.09
Italy,894,3.53
France,698,2.75
Canada,686,2.71
India,649,2.56
South Korea,618,2.44
Spain,569,2.25
Australia,520,2.05
Netherlands,454,1.79
Brazil,381,1.50
Turkey,311,1.23
Sweden,258,1.02
Switzerland,258,1.02
Denmark,212,0.84
Belgium,185,0.73
Iran,181,0.71
Norway,162,0.64
Poland,158,0.62
Ireland,132,0.52
Finland,123,0.49
Israel,123,0.49
Austria,119,0.47
Singapore,115,0.45
Portugal,113,0.45
Greece,98,0.39
Argentina,97,0.38
Thailand,84,0.33
Russia,84,0.33
Czech Republic,80,0.32
South Africa,74,0.29
Hungary,63,0.25
Malaysia,57,0.22
Saudi Arabia,56,0.22
Egypt,53,0.21
Mexico,53,0.21
Pakistan,39,0.15
Chile,36,0.14
Nigeria,30,0.12
Colombia,15,0.06
Indonesia,11,0.04
Bangladesh,10,0.04
Ukraine,9,0.04
Venezuela,9,0.04
Sri Lanka,5,0.02
Vietnam,4,0.02
Peru,3,0.01
Philippines,2,0.01
