PMID	Title	Affiliation
23147728	First detection of oqxAB in Salmonella spp. isolated from food.	Department of Applied Biology and Chemical Technology, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong, SAR.
23147736	A simple high-performance liquid chromatography method for simultaneous determination of three triaz...	Clinical Pharmacology, Department of Medicine, University of Otago-Christchurch, Christchurch, New Zealand. mei.zhang@cdhb.govt.nz
23147814	Evaluation of the ion trap MS performance for quantification of flavonoids and comparison to UV dete...	Institute of Chemistry, Faculty of Natural Sciences and Mathematics, Ss. Cyril and Methodius University, Skopje, Republic of Macedonia.
23147828	Study of small chlorine-doped potassium clusters by thermal ionization mass spectrometry.	Faculty of Technology and Metallurgy, University of Belgrade, Belgrade, Serbia.
23147857	Intraocular lens power measured by partial coherence interferometry.	Department of Ophthalmology, Buddhist Tzu Chi General Hospital, Taipei Branch, New Taipei, Taiwan.
23147876	Role of growth hormone and insulin-like growth factor-I in hyperandrogenism and the severity of acne...	Department of Biochemistry, College of Medicine, University of Baghdad, Baghdad, Iraq. basil_omsal@yahoo.com
23147886	Research as a requirement in a problem-based learning medical curriculum in Saudi Arabia.	Department of Internal Medicine, Faculty of Medicine, American University of Beirut, Riad El-Solh, Beirut, Lebanon. hani_t@hotmail.com
23147946	Prevention of cervical cancer in women with ASCUS in the Brazilian Unified National Health System: c...	Instituto de Pesquisa em Oncologia, Universidade Federal do Triângulo Mineiro, Uberaba, Brasil. rosekeila@terra.com.br
23147944	[The morality of nanotechnology].	Programa de Pós-graduaçãoem Bioética, Universidade de Brasília, Brasília, Brasil. pyrrho.monique@gmail.com
23147947	Waist circumference and waist circumference to height ratios of Kaingáng indigenous adolescents from...	Faculdade de Enfermagem, Universidade Federal de Minas Gerais, Belo Horizonte, Brasil. tgontijo108@gmail.com
23147950	[Hemoglobin level in older adults and the association with nutritional status and use of health serv...	Núcleo de Estudosem Saúde Pública e Envelhecimento, Fundação Oswaldo Cruz/Universidade Federal de Minas Gerais, Belo Horizonte, Brasil. claricelas@cpqrr.fiocruz.br
23147952	[Prenatal care in public and private health services: a population-based survey in Rio Grande, Rio G...	Divisão de População & Saúde, Universidade Federal do Rio Grande, Rio Grande, Brasil. juraci.cesar@gmail.com
23147951	[Uses and influence of health evaluation in two studies on the Brazilian National Dengue Fever Contr...	Instituto de Medicina Integral Prof. Fernando Figueira, Recife, Brasil. anaclaudiafigueiro@gmail.com
23147954	Cancer incidence in the Western Amazon: population-based estimates in Rio Branco, Acre State, Brazil...	Centro de Alta Complexidade em Oncologia, Universidade de Brasília, Brasília, Brasil. julianonakashima@gmail.com
23147955	Men's health: a population-based study on social inequalities.	Faculdade de Ciências Médicas, Universidade Estadual de Campinas, Campinas, Brasil. tassiafraga@yahoo.com.br
23147957	[Sedentary leisure time and food consumption among Brazilian adolescents: the Brazilian National Sch...	Faculdade de Medicina, Universidade Federal de Minas Gerais, Belo Horizonte, Brasil. lidyanecamelo@gmail.com
23147958	[Differences in risk factors for infant mortality in five Brazilian cities: a case-control study bas...	Centro de Pesquisas Aggeu Magalhães, Fundação Oswaldo Cruz, Recife, Brasil. livia_tsouza@yahoo.com.br
23147956	[Integrative and complementary health practices: the supply and production of care in the Unified Na...	Centro de Pesquisas Aggeu Magalhães, Fundação Oswaldo Cruz, Recife, Brasil. islandia@cpqam.fiocruz.br
23147959	Factors influencing growth and intestinal parasitic infections in preschoolers attending philanthrop...	Department of Human Nutrition, University of Otago, Dunedin, New Zealand.
23147960	Temporal analysis of the relationship between dengue and meteorological variables in the city of Rio...	Escola Nacional de Saúde Pública Sergio Arouca, Fundação Oswaldo Cruz, Riode Janeiro, Brasil. afagundesgomes@gmail.com
23147961	[Translation and cross-cultural adaptation of the Brazilian version of the Hospital Survey on Patien...	Secretaria Municipalde Saúde de Cataguases, Cataguases, Brasil. clautartaglia@gmail.com
23147979	Timing of the introduction of complementary foods in infancy: a randomized controlled trial.	Unit for Nutrition Research, Landspitali, The National University Hospital of Iceland, University of Iceland, Reykjavik, Iceland. olofhej@landspitali.is
23147982	Effectiveness of protective eyewear in reducing eye injuries among high school field hockey players.	Division of Sports Medicine, Department of Orthopedics, Warren Alpert Medical School, Brown University, Injury Prevention Center, Rhode Island Hospital/Hasbro Children’s Hospital, Providence, RI. peter_kriz@brown.edu
23147991	Occupational experiences and subjective well-being of mothers of children with ASD in Taiwan.	Department of Physical Medicine and Rehabilitation, National Taiwan University Hospital, Taipei, Taiwan.
23147997	Vaccination with irradiated tumor cells pulsed with an adjuvant that stimulates NKT cells is an effe...	Malaghan Institute of Medical Research, University of Otago, New Zealand. mhunn@malaghan.org.nz
23148045	Anti-proliferative effects of physiological concentrations of enterolactone in models of prostate tu...	Food Nutrition & Health, Food and Bio-based Products, AgResearch Grasslands Research Centre, Palmerston North, New Zealand. mark.mccann@agresearch.co.nz
23148053	New oral anticoagulants.	Department of Medicine, University of Western Ontario, London, Ont.
23148060	Corticosteroid therapy in acute respiratory distress syndrome.	Centre de Recherche Clinique Étienne-Le Bel and Department of Internal Medicine, University of Sherbrooke, Sherbrooke, Quebec. francois.lamontagne@usherbrooke.ca
23148090	Long-term data on corticosteroids and mycophenolate mofetil treatment in lupus nephritis.	Division of Nephrology, Department of Medicine, Queen Mary Hospital, The University of Hong Kong, Hong Kong.
