PMID	Title	State	Has_Explicit_US	Has_Indicators	Affiliation
23147727	Pharmacokinetic-pharmacodynamic modeling of unboosted Atazanavir in a cohort of stable HIV-infected ...	Delaware	False	False	Service Pharmaceutique-Groupement Hospitalier de Gériatrie, Lyon, France. sylvain.goutelle@chu-lyon.fr
23147730	Azole susceptibility and transcriptome profiling in Candida albicans mitochondrial electron transpor...	Washington	True	False	Georgetown University Medical Center, Department of Microbiology and Immunology, Washington, DC, USA.
23147732	Effects of obesity and sex on antimicrobial pharmacokinetics and acute kidney injury: validation of ...	New York	True	False	Albany College of Pharmacy and Health Sciences, Albany, New York, USA. amit.pai@acphs.edu
23147735	Novel carbapenem antibiotics for parenteral and oral applications: in vitro and in vivo activities o...	Colorado	False	False	Drug Research Division, Dainippon Sumitomo Pharma Co, Ltd, Osaka, Japan.
23147737	Emergence and spread of plasmid-borne tet(B)::ISCR2 in minocycline-resistant Acinetobacter baumannii...	Delaware	False	False	Instituto de Microbiología y Parasitología Médica (IMPaM, UBA-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Argentina.
23147738	Mupirocin and chlorhexidine resistance in Staphylococcus aureus in patients with community-onset ski...	Indiana	True	False	Departments of Pediatrics, Washington University in St. Louis School of Medicine, St. Louis, Missouri, USA.
23147739	Inhibition of Streptococcus pneumoniae penicillin-binding protein 2x and Actinomadura R39 DD-peptida...	Delaware	False	False	Centre de Recherches du Cyclotron, Université de Liège, Sart-Tilman, Liège, Belgium. azervosen@ulg.ac.be
23147740	Posaconazole pharmacodynamic target determination against wild-type and Cyp51 mutant isolates of Asp...	Wisconsin	True	False	University of Wisconsin, Madison, Wisconsin, USA.
23147743	Case-control study of drug monitoring of β-lactams in obese critically ill patients.	Delaware	False	False	Department of Infectious Diseases, Université Libre de Bruxelles, Brussels, Belgium
23147744	Straightforward iron-catalyzed synthesis of vinylboronates by the hydroboration of alkynes.	Indiana	False	False	Technische Universität Berlin, Department of Chemistry, Cluster of Excellence Unifying Concepts in Catalysis, Straße des 17. Juni 115/C2, 10623 Berlin, Germany.
23147742	Vancomycin treatment's association with delayed intestinal tissue injury, clostridial overgrowth, an...	Virginia	True	False	Division of Infectious Diseases and International Health, University of Virginia, Charlottesville, Virginia, USA.
23147747	First synthesis of (+)-myrrhanol C, an anti-prostate cancer lead.	Delaware	False	False	Department of Organic Chemistry, Institute of Biotechnology, Faculty of Sciences, University of Granada, Campus de Fuente Nueva, s/n, 18071 Granada, Spain. vdomingo@ugr.es
23147746	Glycated albumin, not hemoglobin A1c, predicts cardiovascular hospitalization and length of stay in ...	North Carolina	True	False	Department of Internal Medicine-Nephrology, Wake Forest School of Medicine, Winston-Salem, NC, USA.
23147750	Assessing causation of the extirpation of stream macroinvertebrates by a mixture of ions.	Ohio	True	False	National Center for Environmental Assessment, U.S. Environmental Protection Agency, Cincinnati, Ohio, USA.
23147752	K(+) , Na(+) , and Mg(2+)  on DNA translocation in silicon nitride nanopores.	Arkansas	True	False	Department of Physics, University of Arkansas, Fayetteville, AR 72701, USA.
23147757	Transplantation: An end to bone disease after renal transplantation?	Delaware	False	False	Department of Cardiology, University Hospital RWTH Aachen, Pauwelsstrasse 30, D-52074 Aachen, Germany. vincent.brandenburg@post.rwth-aachen.de
23147756	Kidney transplantation and the ageing immune system.	California	True	False	Department of Medicine, Division of Nephrology-Hypertension, University of California San Diego, 3350 La Jolla Village Drive, San Diego, CA 92161, USA.
23147761	Dialysis: Does daily haemodialysis reduce survival?	Connecticut	True	False	Yale New Haven Health System, Performance Management, 300 George Street, Room 487, New Haven, CT 06510, USA. alan.kliger@ynhh.org
23147769	Periprocedural management and approach to bleeding in patients taking dabigatran.	California	False	False	Department of Medicine, Thrombosis and Atherosclerosis Research Institute, 237 Barton St E, Hamilton, Ontario L8L 2X2, Canada. weitzj@taari.ca
23147778	Subcortical injury is an independent predictor of worsening neurological deficits following awake cr...	Maryland	True	False	Department of Neurosurgery, The University of Texas MD Anderson Cancer Center Houston, Texas 77030, USA.
23147780	Beneficial effect of subsequent lesion procedures after nonresponse to initial cingulotomy for sever...	Massachusetts	True	True	Department of Neurosurgery, Massachusetts General Hospital, Boston, Massachusetts, USA.
